x,y,time,id_pan
560022.1517717481,5994508.209247745,1652880596573,14
560019.7631146142,5994515.375219147,1652880596673,14
560017.3744574803,5994524.929847683,1652880596773,14
560017.3744574803,5994529.707161951,1652880596874,14
560017.3744574803,5994529.707161951,1652880596978,14
560017.3744574803,5994529.707161951,1652880597088,14
560017.3744574803,5994529.707161951,1652880597183,14
560017.3744574803,5994529.707161951,1652880597275,14
560017.3744574803,5994529.707161951,1652880597383,14
560017.3744574803,5994532.095819085,1652880597473,14
560022.1517717481,5994524.929847683,1652880597574,14
560026.9290860159,5994515.375219147,1652880597673,14
560029.3177431498,5994510.597904879,1652880597774,14
560031.7064002837,5994501.043276343,1652880597874,14
560041.2610288194,5994484.322676404,1652880597974,14
560048.4270002211,5994467.602076466,1652880598074,14
560060.3702858906,5994446.10416226,1652880598174,14
560072.3135715602,5994426.994905188,1652880598274,14
560089.0341714976,5994400.719676713,1652880598373,14
560100.9774571671,5994379.221762507,1652880598473,14
560110.5320857028,5994348.169219765,1652880598573,14
560112.9207428367,5994333.837276961,1652880598673,14
560115.3093999706,5994324.282648425,1652880598773,14
560115.3093999706,5994324.282648425,1652880598882,14
560115.3093999706,5994324.282648425,1652880598988,14
560115.3093999706,5994324.282648425,1652880599073,14
560115.3093999706,5994324.282648425,1652880599174,14
560115.3093999706,5994324.282648425,1652880599273,14
560115.3093999706,5994324.282648425,1652880599374,14
560115.3093999706,5994324.282648425,1652880599474,14
560115.3093999706,5994329.059962693,1652880599573,14
560100.9774571671,5994367.278476837,1652880599673,14
560072.3135715602,5994455.658790792,1652880599773,14
560065.1476001585,5994505.820590606,1652880599873,14
560065.1476001585,5994522.541190544,1652880599973,14
560065.1476001585,5994524.929847678,1652880600073,14
560065.1476001585,5994524.929847678,1652880600174,14
560065.1476001585,5994524.929847678,1652880600273,14
560065.1476001585,5994524.929847678,1652880600374,14
560065.1476001585,5994524.929847678,1652880600473,14
560065.1476001585,5994524.929847678,1652880600575,14
560091.5623595071,5994201.2467681095,1652880602574,15
560090.3680309401,5994158.250939698,1652880602673,15
560090.3680309401,5994116.4494398525,1652880602774,15
560102.3113166098,5994047.178382969,1652880602873,15
560105.8943023109,5994013.737183093,1652880602974,15
560107.0886308779,5994011.348525959,1652880603073,15
560107.0886308779,5994011.348525959,1652880603173,15
560107.0886308779,5994011.348525959,1652880603273,15
560107.0886308779,5994011.348525959,1652880603374,15
560107.0886308779,5994011.348525959,1652880603474,15
560107.0886308779,5993982.684640353,1652880603574,15
560109.4772880118,5993888.332683564,1652880603674,15
560119.0319165477,5993854.891483688,1652880603775,15
560136.9468450521,5993829.8105837805,1652880603873,15
-190752.01649004,6124610.736693078,1652880639773,16
-192777.5977395971,6126330.569829493,1652880639874,16
-193121.5643668804,6126521.662400206,1652880639974,16
-193198.00139516557,6126521.662400206,1652880640074,16
-193198.00139516557,6126521.662400206,1652880640178,16
-193198.00139516557,6126521.662400206,1652880640274,16
