id_participant,id_pan,pourcentage,nbr_point_t
19,50,0.09090909090909091,11
19,51,0.375,16
19,52,0.2727272727272727,44
19,53,0.5,12
20,0,0.08823529411764706,34
20,1,0.4,20
20,2,0.40625,32
20,3,0.47368421052631576,19
20,4,0.07352941176470588,68
20,5,0.22727272727272727,22
20,6,0.37037037037037035,27
20,7,0.25,12
20,8,0.2037037037037037,54
20,9,0.1956521739130435,92
20,11,0.03125,64
20,12,0.7931034482758621,29
20,13,0.2608695652173913,46
20,14,0.06666666666666667,30
20,15,0.6,25
20,16,0.09523809523809523,21
20,17,0.039603960396039604,101
20,19,0.25,48
20,20,0.1506849315068493,73
20,21,0.0761904761904762,105
20,22,0.25,12
20,23,0.20408163265306123,49
20,25,0.896551724137931,29
20,26,1.0,14
20,27,0.10714285714285714,28
20,28,0.3333333333333333,33
20,29,0.5652173913043478,23
20,30,0.09523809523809523,63
20,32,0.06741573033707865,89
20,33,0.6363636363636364,22
20,34,0.04,100
20,35,0.375,16
20,36,0.13793103448275862,58
20,37,0.36363636363636365,11
20,38,0.022222222222222223,45
20,39,0.4,15
20,40,0.1076923076923077,65
20,41,0.09302325581395349,43
20,43,0.4642857142857143,28
20,44,0.675,40
20,45,0.6,15
20,46,0.20689655172413793,29
20,47,0.8666666666666667,15
3,1,0.3333333333333333,15
3,2,0.10714285714285714,28
3,3,0.03333333333333333,30
3,4,0.45454545454545453,11
3,5,0.06666666666666667,15
3,6,0.029411764705882353,34
3,7,0.1282051282051282,39
3,8,0.5,12
3,9,0.047619047619047616,21
3,10,0.10344827586206896,58
3,11,0.125,24
3,13,0.06060606060606061,66
3,14,0.18181818181818182,22
3,16,0.13333333333333333,15
3,18,0.2631578947368421,19
3,19,0.21052631578947367,19
3,20,0.18181818181818182,11
3,21,0.125,24
3,23,0.3333333333333333,27
3,24,0.11904761904761904,42
3,27,0.04918032786885246,61
3,29,0.25806451612903225,31
3,30,0.4166666666666667,12
3,31,0.10714285714285714,28
3,32,0.35714285714285715,14
3,33,0.29411764705882354,17
3,34,0.1111111111111111,36
3,39,0.10526315789473684,38
3,40,0.43478260869565216,23
3,41,0.15384615384615385,26
3,42,0.4166666666666667,12
3,43,0.4583333333333333,24
3,44,0.058823529411764705,34
3,46,0.23529411764705882,17
3,47,0.47058823529411764,17
4,0,0.22916666666666666,48
4,1,0.5555555555555556,27
4,2,0.9166666666666666,12
4,3,0.7333333333333333,15
4,4,0.17647058823529413,17
4,5,0.23076923076923078,26
4,8,0.14285714285714285,35
4,9,0.7857142857142857,14
4,10,0.20833333333333334,24
4,11,0.29411764705882354,17
4,12,0.2857142857142857,35
4,13,0.1875,32
4,14,0.2857142857142857,42
4,15,0.46153846153846156,13
