# timestamps [seconds],pts
150937.120080,5909170
150937.245107,5917364
150937.380574,5926242
150937.552508,5937509
150937.682824,5946050
150937.835616,5956063
150937.928702,5962163
150938.022826,5968332
150938.139778,5975996
150938.275068,5984862
150938.362601,5990599
150938.482914,5998484
150938.599521,6006125
150938.707691,6013214
150938.865052,6023527
150939.006498,6032797
150939.115587,6039946
150939.208014,6046003
150939.326591,6053774
150939.436775,6060995
150939.666836,6076072
150939.832086,6086902
150939.967157,6095753
150940.115757,6105492
150940.250183,6114301
150940.354573,6121143
150940.470143,6128717
150940.558796,6134526
150940.649606,6140478
150940.771045,6148436
150940.951626,6160271
150941.134455,6172252
150941.287293,6182268
150941.457609,6193430
150941.632148,6204869
150941.779203,6214506
150941.920644,6223775
150942.031858,6231064
150942.140799,6238203
150942.267891,6246532
150942.429052,6257094
150942.592975,6267836
150942.742773,6277653
150942.918858,6289193
150943.091754,6300524
150943.244929,6310562
150943.362484,6318266
150943.477076,6325776
150943.592228,6333322
150943.755146,6343999
150943.929271,6355411
150944.079989,6365288
150944.288247,6378936
150944.451734,6389650
150944.602608,6399538
150944.722225,6407377
150944.823173,6413992
150944.936817,6421440
150945.128272,6433987
150945.258994,6442554
150945.450658,6455115
150945.563441,6462506
150945.710353,6472134
150945.848581,6481193
150945.980196,6489818
150946.122178,6499123
150946.264686,6508462
150946.439144,6519895
150946.637909,6532921
150946.841215,6546245
150946.980257,6555357
150947.152213,6566626
150947.295297,6576003
150947.438949,6585417
150947.560148,6593360
150947.675599,6600926
150947.781737,6607882
150947.904200,6615907
150948.076946,6627228
150948.225340,6636953
150948.376831,6646881
150948.557504,6658722
150948.730766,6670077
150948.871435,6679295
150948.981755,6686525
150949.104635,6694578
150949.236605,6703227
150949.405592,6714301
150949.585203,6726072
150949.741730,6736330
150949.915395,6747711
150950.092585,6759323
150950.258223,6770178
150950.394659,6779120
150950.570898,6790670
150950.776012,6804112
150951.013267,6819660
150951.150653,6828664
150951.271317,6836572
150951.387814,6844206
150951.498886,6851485
150951.611276,6858851
150951.719608,6865950
150951.818179,6872410
150951.917487,6878918
150952.030908,6886351
150952.147130,6893968
150952.269601,6901994
150952.403899,6910795
150952.505674,6917465
150952.623241,6925170
150952.716565,6931286
150952.847034,6939836
150952.950274,6946602
150953.040256,6952499
150953.141828,6959155
150953.245572,6965954
150953.373385,6974331
150953.482570,6981486
150953.614075,6990104
150953.739629,6998332
150953.841172,7004987
150953.951250,7012201
150954.066867,7019778
150954.199147,7028447
150954.315791,7036091
150954.446507,7044658
150954.581838,7053527
150954.738695,7063806
150954.883433,7073292
150955.003894,7081186
150955.145139,7090442
150955.275741,7099001
150955.429876,7109103
150955.575171,7118625
150955.702273,7126954
150955.811424,7134107
150955.909806,7140555
150956.019495,7147743
150956.120371,7154354
150956.231379,7161629
150956.374828,7171030
150956.507090,7179698
150956.625041,7187428
150956.759744,7196256
150956.885972,7204528
150957.005856,7212385
150957.121220,7219945
150957.220979,7226483
150957.308022,7232187
150957.387075,7237368
150957.469874,7242794
150957.588775,7250586
150957.729146,7259785
150957.911733,7271751
150958.021510,7278945
150958.132854,7286242
150958.246864,7293714
150958.371806,7301902
150958.478256,7308878
150958.586161,7315950
150958.690549,7322791
150958.798748,7329882
150958.940119,7339146
150959.099942,7349620
150959.221671,7357598
150959.326483,7364467
150959.440798,7371958
150959.543101,7378663
150959.650519,7385703
150959.762082,7393014
150959.852327,7398928
150959.965564,7406349
150960.098986,7415093
150960.225346,7423374
150960.373744,7433099
150960.527907,7443202
150960.668165,7452394
150960.785626,7460092
150960.924263,7469177
150961.075729,7479104
150961.215115,7488238
150961.352934,7497270
150961.481115,7505671
150961.596118,7513207
150961.714786,7520984
150961.810927,7527285
150961.927639,7534934
150962.046762,7542740
150962.207861,7553298
150962.372407,7564081
150962.518072,7573628
150962.629151,7580907
150962.732269,7587665
150962.834127,7594340
150962.924936,7600291
150963.039564,7607804
150963.175197,7616692
150963.287836,7624074
150963.389962,7630767
150963.498148,7637857
150963.625609,7646210
150963.726641,7652831
150963.836462,7660028
150964.143637,7680159
150964.268071,7688314
150964.376904,7695446
150964.510314,7704189
150964.683815,7715560
150964.836141,7725542
150965.005020,7736610
150965.161615,7746872
150965.285662,7755002
150965.382874,7761372
150965.486801,7768183
150965.605751,7775979
150965.747439,7785264
150965.900757,7795312
150966.026262,7803537
150966.142346,7811144
150966.236768,7817332
150966.354404,7825042
150966.476848,7833066
150966.615406,7842146
150966.717770,7848855
150966.814661,7855205
150966.916530,7861881
150967.058312,7871172
150967.173214,7878702
150967.276163,7885449
150967.405554,7893929
150967.524021,7901692
150967.617870,7907843
150967.744147,7916118
150967.883549,7925254
150968.039405,7935468
150968.159935,7943367
150968.288928,7951821
150968.410156,7959765
150968.537339,7968100
150968.657546,7975978
150968.793023,7984857
150968.900837,7991922
150969.017742,7999583
150969.191273,8010956
150969.351837,8021478
150969.460794,8028619
150969.593017,8037284
150969.706529,8044723
150969.805834,8051231
150969.927923,8059232
150970.071036,8068611
150970.181137,8075827
150970.287761,8082814
150970.407585,8090667
150970.596101,8103021
150970.704700,8110138
150970.839144,8118949
150970.964090,8127137
150971.075885,8134464
150971.195548,8142306
