world_index,id_fixation,x,y,zoom,etape,id_pan
2347,421,259099.615030327,6247231.012453978,18.0,2,8
2347,422,259121.7123515076,6247224.57408007,18.0,2,8
2348,422,259124.93308038395,6247229.063635548,18.0,2,8
2349,422,259120.31821492047,6247223.02424354,18.0,2,8
2350,422,259118.80183510692,6247222.920298357,18.0,2,8
2351,422,259117.69313773507,6247222.876475314,18.0,2,8
2352,422,259116.35302394076,6247222.106073897,18.0,2,8
2353,423,259217.5241150959,6247250.434096454,18.0,2,8
2354,423,259213.6213527324,6247241.517567879,18.0,2,8
2355,423,259164.07104355175,6247322.302577583,18.0,2,8
2356,423,259167.05152305693,6247327.983351018,18.0,2,8
2357,423,259161.0215747876,6247320.418071391,18.0,2,8
2357,424,259196.30829941755,6247313.221097535,18.0,2,8
2358,424,259181.9837874532,6247328.853135352,18.0,2,8
2359,424,259186.99833957493,6247335.832454759,18.0,2,8
2360,424,259182.8515007986,6247331.120401232,18.0,2,8
2361,424,259179.6595430744,6247325.268025984,18.0,2,8
2362,424,259178.99380868408,6247325.7247082265,18.0,2,8
2363,424,259176.42770894343,6247328.891730383,18.0,2,8
2363,425,259203.25687663173,6247301.386658453,18.0,2,8
2364,425,259213.03630058005,6247310.068041803,18.0,2,8
2365,425,259205.8383187088,6247308.036151797,18.0,2,8
2366,425,259201.5080894653,6247299.231564188,18.0,2,8
2367,425,259202.57812346588,6247302.116273686,18.0,2,8
2368,425,259210.97048402007,6247305.501719117,18.0,2,8
2369,425,259212.9203275512,6247307.525344252,18.0,2,8
2370,426,259197.0562149705,6247301.19103085,18.0,2,8
2371,426,259197.27787585385,6247298.13014503,18.0,2,8
2372,426,259203.2782328907,6247305.921805274,18.0,2,8
2373,426,259205.07403799696,6247307.293927829,18.0,2,8
2374,427,259106.6869487642,6247310.914864456,18.0,2,8
2375,427,259107.0987316076,6247311.048140327,18.0,2,8
2376,427,259112.6279866561,6247315.645216025,18.0,2,8
2377,427,259106.37371224223,6247310.390256497,18.0,2,8
2378,427,259104.0640242896,6247311.909647543,18.0,2,8
2384,429,259003.42967913748,6247408.15902081,18.0,2,8
2385,429,258866.13880067947,6247521.949647279,18.0,2,8
2386,429,258861.39769409792,6247518.512459903,18.0,2,8
2387,429,258862.6241755094,6247522.493091458,18.0,2,8
2429,437,258864.9633783816,6247668.989248495,18.0,2,9
2430,437,258861.03515935733,6247668.590574123,18.0,2,9
2431,437,258861.29075106492,6247668.792275447,18.0,2,9
2432,437,258836.7363062926,6247686.8994507175,18.0,2,9
2433,437,258845.56580384087,6247695.485192196,18.0,2,9
