world_index,id_fixation,x,y,zoom,etape
816,132,260537.84674820918,6255422.292113267,19.0,1
817,132,260538.35912757495,6255422.8470129445,19.0,1
818,132,260539.90231376482,6255423.000066846,19.0,1
818,133,260538.64237990923,6255424.115459405,19.0,1
819,133,260540.29234739408,6255424.375110937,19.0,1
820,133,260541.31837041615,6255424.634493381,19.0,1
821,133,260541.52024686118,6255424.74374346,19.0,1
822,133,260541.22814449316,6255424.337861351,19.0,1
823,133,260541.30837568696,6255424.540715912,19.0,1
824,133,260541.2510384028,6255425.825211601,19.0,1
825,133,260540.7896406985,6255426.755048169,19.0,1
825,134,260550.9558521247,6255420.331512589,19.0,1
826,134,260551.10105760084,6255420.067036677,19.0,1
827,134,260550.20359925792,6255419.859684488,19.0,1
828,134,260548.66951937688,6255420.43599595,19.0,1
829,134,260545.94451198433,6255422.025196335,19.0,1
830,134,260543.2535891811,6255421.622024336,19.0,1
831,134,260542.70367405453,6255420.283941521,19.0,1
832,134,260542.9205853059,6255418.870744473,19.0,1
832,135,260542.43518316647,6255417.156436987,19.0,1
833,135,260543.43706507338,6255415.5720802015,19.0,1
834,135,260544.19827048393,6255414.077656757,19.0,1
835,135,260544.69236889202,6255412.646104004,19.0,1
836,135,260545.122125163,6255411.932883972,19.0,1
837,135,260545.19285709277,6255411.580819636,19.0,1
838,135,260545.38971054569,6255411.122715067,19.0,1
838,136,260519.44933910167,6255412.903468282,19.0,1
839,136,260520.4885346643,6255412.684775919,19.0,1
840,136,260521.18608133803,6255413.144302814,19.0,1
841,136,260520.26494317513,6255414.465644457,19.0,1
842,136,260517.83803498812,6255416.26394611,19.0,1
843,136,260516.45802770197,6255419.440251832,19.0,1
844,136,260518.07883107953,6255421.051459842,19.0,1
845,136,260522.3927270562,6255420.962545194,19.0,1
845,137,260514.9343184203,6255416.171975381,19.0,1
846,137,260519.92676254272,6255416.070970953,19.0,1
847,137,260524.35353916194,6255413.558757326,19.0,1
848,137,260525.87407063224,6255410.192071233,19.0,1
849,137,260524.56874191255,6255409.4200360635,19.0,1
849,138,260525.09425964885,6255419.81055655,19.0,1
850,138,260523.19121195245,6255419.804329064,19.0,1
851,138,260521.24922752465,6255419.370711582,19.0,1
859,139,260550.72559748273,6255398.2159254,19.0,1
860,139,260548.92379553895,6255397.586372783,19.0,1
861,139,260547.18693370753,6255397.405775715,19.0,1
862,139,260545.65893608905,6255396.532755339,19.0,1
